ID,p,RMSE.train,RMSE.test,R2.train,R2.test,NVAR
s3b_knn,0.75,0.558842635946309,0.983425041203469,0.982313921756903,0.955440812567416,13
pca_knn,0.75,0.492725465062116,0.810147820530069,0.986251272850936,0.969759896498386,301
rf,0.75,0.379756889054802,0.821630969479706,0.991832976615567,0.968896566127174,301
rfe_rf,0.75,0.349133820669273,0.815270691020744,0.993097024703719,0.969376248165274,40
pca_rf,0.75,0.388819020475603,0.832976177563849,0.991438546923187,0.96803167369117,301
s3b_rf,0.75,0.376535406407446,0.823071385395755,0.9919709508362,0.968787414563154,13
ridge,0.8,0.390895583206597,0.984460786669362,0.990899790670641,0.96249265757484,301
lasso,0.8,0.321369858914712,1.05288885799737,0.993849079129215,0.957097311375865,301
enet,0.8,0.487471566035629,0.98241551461772,0.985847654155675,0.962648342865225,301
glmnet,0.8,0.893283705249973,1.24731856641544,0.952476471367809,0.93978922414155,301
rfe_lm,0.8,1.0223640668518,1.35274579043817,0.93774976295198,0.929180667029311,43
pca_lm,0.8,0.792222083654146,1.14025495704927,0.962621338576891,0.949681998061882,35
s3b_lm,0.8,0.975161914099298,1.18301036074524,0.943365206924569,0.945837768887823,13
pcr,0.8,0.737345325993627,1.01579731475906,0.96762038213544,0.960066849903461,301
knn,0.8,0.45371567037386,0.965366787256504,0.987739803975049,0.963933486977002,301
rfe_knn,0.8,0.16087995858888,0.962725654616897,0.998458534719022,0.964130564690162,43
s3b_knn,0.8,0.519306304833108,1.00963130228776,0.983938834898409,0.960550176606873,13
pca_knn,0.8,0.45371567037386,0.965366787256504,0.987739803975049,0.963933486977002,301
rf,0.8,0.380767039672457,0.918692783875644,0.991365274201219,0.967336699991591,301
rfe_rf,0.8,0.33608126973066,0.843450158672013,0.993273045744295,0.972467965938001,43
pca_rf,0.8,0.37096299245177,0.919815494539426,0.991804206107407,0.96725681726369,301
s3b_rf,0.8,0.351357824150416,0.853382424666017,0.992647600213414,0.971815726903337,13
ridge,0.85,0.347077212550252,1.08547757190709,0.993814259690656,0.911217957916047,301
lasso,0.85,0.299727608231288,1.32935891844922,0.995386898844106,0.866841796247019,301
enet,0.85,0.451297783669308,1.26159266475737,0.989541584710922,0.880071685105263,301
glmnet,0.85,0.933227522742033,1.28023488979398,0.955278685668382,0.876501199795641,301
rfe_lm,0.85,0.990357341380112,1.35601802686484,0.94963563852908,0.861447506156796,40
pca_lm,0.85,0.807061575972603,1.16887032503665,0.966553334722297,0.897052433034252,35
s3b_lm,0.85,1.01137954676656,1.01222396813097,0.94747478788978,0.922796559576844,12
pcr,0.85,0.660973909068725,1.06430445508643,0.977565927703913,0.914647709319072,301
knn,0.85,0.446622249600782,1.01008021461973,0.989757164661797,0.923123226190025,301
rfe_knn,0.85,0.164001465086721,0.958716415476254,0.998618868796622,0.930742988379997,40
s3b_knn,0.85,0.497046821657314,0.878192336623586,0.987313726096914,0.9418884168734,12
pca_knn,0.85,0.446622249600782,1.01008021461973,0.989757164661797,0.923123226190025,301
